,view_name,view_type,view_source_type,view_source_name,view_file_location,explore_name,explore_file_location,syntax_error
126,FACT_daily_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
127,FACT_daily_cohort_stats_by_reporting_channel,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
128,FACT_daily_upgrade_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
129,FACT_monthly_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
51,FACT_system_bank_import,derived_table,explore,systemid_bank_import_raw,FACT_system_ndt.view.lkml,systemid_bank_import_raw,helper_system_explores.model.lkml,
50,FACT_system_bank_import_raw,derived_table,explore,systemid_bank_import_raw,FACT_system_ndt.view.lkml,systemid_bank_import_raw,helper_system_explores.model.lkml,
52,FACT_system_client,derived_table,explore,systemid_clients,FACT_system_ndt.view.lkml,systemid_clients,helper_system_explores.model.lkml,
45,FACT_system_estimates,derived_table,explore,systemid_estimates,FACT_system_ndt.view.lkml,systemid_estimates,helper_system_explores.model.lkml,
46,FACT_system_expenses,derived_table,explore,systemid_expenses,FACT_system_ndt.view.lkml,systemid_expenses,helper_system_explores.model.lkml,
49,FACT_system_gateway_txn,derived_table,explore,systemid_gateway_txn,FACT_system_ndt.view.lkml,systemid_gateway_txn,helper_system_explores.model.lkml,
44,FACT_system_invoice_profile,derived_table,explore,systemid_invoice_profile,FACT_system_ndt.view.lkml,systemid_invoice_profile,helper_system_explores.model.lkml,
43,FACT_system_invoices,derived_table,explore,systemid_invoices,FACT_system_ndt.view.lkml,systemid_invoices,helper_system_explores.model.lkml,
34,FACT_system_payments,derived_table,explore,systemid_payments,payments_ndt.view.lkml,systemid_payments,payments_ndt.view.lkml,
47,FACT_system_projects,derived_table,explore,systemid_projects,FACT_system_ndt.view.lkml,systemid_projects,helper_system_explores.model.lkml,
48,FACT_system_time_entry,derived_table,explore,systemid_time_entry,FACT_system_ndt.view.lkml,systemid_time_entry,helper_system_explores.model.lkml,
32,d_marketing_channel,derived_table,explore,d_marketing_channel_w_lookups,d_marketing_channel.view.lkml,d_marketing_channel_w_lookups,d_marketing_channel.view.lkml,
84,fact_subscription_summary,derived_table,explore,fact_monthly_subscriptions_ndt,FACT_monthly_subscriptions_ndt.view.lkml,fact_monthly_subscriptions_ndt,FACT_monthly_subscriptions_ndt.view.lkml,
20,heap_omnichannel,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,heap_omnichannel_explore,standard_reporting_explores.model.lkml,
21,heap_omnichannel,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,heap_omnichannel_explore,helper_system_explores.model.lkml,
22,heap_omnichannel_unique,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,heap_omnichannel_explore,standard_reporting_explores.model.lkml,
23,heap_omnichannel_unique,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,heap_omnichannel_explore,helper_system_explores.model.lkml,
125,ltv_model_get_max_insertion,derived_table,explore,ltv_model,ltv_model.view.lkml,ltv_model,helper_system_explores_raw.model.lkml,
95,ndt_advanced_accounting_reports,derived_table,explore,advanced_accounting_report_funnels,ndt_advanced_accounting_reports.view.lkml,advanced_accounting_report_funnels,helper_system_explores.model.lkml,
96,ndt_advanced_accounting_trends,derived_table,explore,advanced_accounting_report_trends,ndt_advanced_accounting_reports.view.lkml,advanced_accounting_report_trends,helper_system_explores.model.lkml,
111,ndt_api_user,derived_table,explore,coalesced_live_shards_system,ndt_api_user.view.lkml,coalesced_live_shards_system,helper_system_explores_raw.model.lkml,
10,ndt_bank_import_user,derived_table,explore,expense,ndt_bank_import_users.view.lkml,expense,helper_system_explores_raw.model.lkml,
3,ndt_beta_tests,derived_table,explore,ndt_beta_test,ndt_beta_tests.view.lkml,ndt_beta_test,helper_system_explores.model.lkml,
0,ndt_card_reader_user,derived_table,explore,card_reader_order,ndt_card_reader_user.view.lkml,card_reader_order,helper_system_explores_raw.model.lkml,
124,ndt_channel_daily_spend,derived_table,explore,source_combined_daily_spend,ndt_channel_daily_spend.view.lkml,source_combined_daily_spend,helper_system_explores_raw.model.lkml,
71,ndt_contractor,derived_table,explore,ndt_contractor,ndt_contractor.view.lkml,ndt_contractor,helper_system_explores.model.lkml,
116,ndt_convertible_segment,derived_table,explore,ndt_convertible_segment,ndt_convertible_segment.view.lkml,ndt_convertible_segment,helper_system_explores.model.lkml,
113,ndt_customer_movement_user_cnt,derived_table,explore,ndt_report_system_movement_by_type,ndt_customer_movement_user_cnt.view.lkml,ndt_report_system_movement_by_type,helper_system_explores.model.lkml,
94,ndt_customer_movement_user_cnt_by_month,derived_table,explore,ndt_customer_movement_user_cnt,ndt_customer_movement_user_cnt_by_month.view.lkml,ndt_customer_movement_user_cnt,helper_system_explores_raw.model.lkml,
37,ndt_daily_cohort_stats_by_channel,derived_table,explore,report_systems,ndt_daily_cohort_stats_by_channel.view.lkml,report_systems,marketing.model.lkml,
38,ndt_daily_cohort_stats_by_channel,derived_table,explore,report_systems,ndt_daily_cohort_stats_by_channel.view.lkml,report_systems,computron.model.lkml,
41,ndt_daily_device_usage,derived_table,explore,daily_device_usage,ndt_daily_device_usage.view.lkml,daily_device_usage,helper_system_explores_raw.model.lkml,
64,ndt_ddate_first_month,derived_table,explore,d_date,ndt_ddate_first_month.view.lkml,d_date,helper_system_explores_raw.model.lkml,
61,ndt_deferred_upgrade,derived_table,explore,ndt_deferred_upgrade_explore,ndt_deferred_upgrade.view.lkml,ndt_deferred_upgrade_explore,helper_system_explores.model.lkml,
88,ndt_deferred_upgrade_first,derived_table,explore,deferred_upgrade_packages,ndt_deferred_upgrade_first.view.lkml,deferred_upgrade_packages,helper_system_explores_raw.model.lkml,
59,ndt_email_verified,derived_table,explore,explore_email_verified,ndt_email_verified.view.lkml,explore_email_verified,helper_system_explores.model.lkml,
98,ndt_engaged_seats,derived_table,explore,monthly_seats_activity,ndt_monthly_seats.view.lkml,monthly_seats_activity,helper_system_explores.model.lkml,
67,ndt_engagement_power_user_segments,derived_table,explore,ndt_events_raw_engagement,ndt_engagement_power_user_segments.view.lkml,ndt_events_raw_engagement,helper_system_explores_raw.model.lkml,
68,ndt_events_raw_engagement,derived_table,explore,events_raw,ndt_events_raw_engagement.view.lkml,events_raw,helper_system_explores_raw.model.lkml,
36,ndt_first_last_mod_down_date,derived_table,explore,report_system_movement_by_type_raw,ndt_first_last_mod_down_date.view.lkml,report_system_movement_by_type_raw,helper_system_explores_raw.model.lkml,
