,explore_name,explore_file_location,view_sources,syntax_error,is_endpoint_explore
0,gateway_txns,ndt_system_daily_gateway_txns.view.lkml,"['d_gateway_txn', 'd_date']",flagged explore as created in view file,False
1,invoice,ndt_system_daily_invoice.view.lkml,['invoice'],flagged explore as created in view file,False
2,d_marketing_channel_w_lookups,d_marketing_channel.view.lkml,"['d_marketing_channel_old', 'd_keyword_lookup', 'd_adgroup_lookup', 'd_campaign_lookup']",flagged explore as created in view file,False
3,payments_with_gateway,payments_ndt.view.lkml,"['payments', 'd_date', 'd_gateway_txn', 'd_system', 'd_payment']",flagged explore as created in view file,False
4,systemid_payments,payments_ndt.view.lkml,"['report_systems', 'd_payment', 'd_date', 'payments', 'd_gateway_txn', 'd_system']",flagged explore as created in view file,False
5,spend_monthly_data,SPEND_monthly_data.view.lkml,['spend_monthly_data'],flagged explore as created in view file,False
6,estimate,ndt_system_daily_estimate.view.lkml,['estimate'],flagged explore as created in view file,False
7,fact_monthly_subscriptions_ndt,FACT_monthly_subscriptions_ndt.view.lkml,['fact_monthly_subscriptions'],flagged explore as created in view file,False
8,fact_subscription_summary,FACT_monthly_subscriptions_ndt.view.lkml,['fact_subscription_summary'],flagged explore as created in view file,True
9,spend_daily_data,SPEND_daily_data.view.lkml,['spend_daily_data'],flagged explore as created in view file,False
10,selligent_random_speed_chart,one_off_derived_tables.model.lkml,['selligent_random_speed_chart'],,True
11,selligent_random_speed_chart_opened_email,one_off_derived_tables.model.lkml,['selligent_random_speed_chart_opened_email'],,True
12,monthly_subscriber_information,marketing.model.lkml,"['report_systems', 'business_survey_results', 'ndt_beta_tests', 'ndt_monthly_payments', 'ndt_monthly_advanced_payments', 'report_subscribers', 'ndt_monthly_seats', 'bad_ip_table', 'ndt_engaged_seats', 'bad_domain_table', 'ndt_monthly_time_entries', 'ndt_monthly_fact_estimates_and_proposals', 'ndt_advanced_accounting_trends', 'ndt_monthly_retainers', 'ndt_monthly_zendesk_tickets', 'ndt_monthly_fact_expenses']",,True
