,view_file_location,explore_file_location
0,FACT_monthly_subscriptions_ndt.view.lkml,['FACT_monthly_subscriptions_ndt.view.lkml']
1,FACT_system_ndt.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
2,SPEND_daily_data.view.lkml,['SPEND_daily_data.view.lkml']
3,SPEND_monthly_data.view.lkml,['SPEND_monthly_data.view.lkml']
4,_systemsandtrials.model.lkml,"['_systemsandtrials.model.lkml', '_systemsandtrials.model.lkml', '_systemsandtrials.model.lkml', '_systemsandtrials.model.lkml']"
5,d_marketing_channel.view.lkml,['d_marketing_channel.view.lkml']
6,ltv_model.view.lkml,['helper_system_explores_raw.model.lkml']
7,ndt_advanced_accounting_reports.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
8,ndt_api_user.view.lkml,['helper_system_explores_raw.model.lkml']
9,ndt_bank_import_users.view.lkml,['helper_system_explores_raw.model.lkml']
10,ndt_beta_tests.view.lkml,['helper_system_explores.model.lkml']
11,ndt_card_reader_user.view.lkml,['helper_system_explores_raw.model.lkml']
12,ndt_channel_daily_spend.view.lkml,['helper_system_explores_raw.model.lkml']
13,ndt_contractor.view.lkml,['helper_system_explores.model.lkml']
14,ndt_convertible_segment.view.lkml,['helper_system_explores.model.lkml']
15,ndt_customer_movement_user_cnt.view.lkml,['helper_system_explores.model.lkml']
16,ndt_customer_movement_user_cnt_by_month.view.lkml,['helper_system_explores_raw.model.lkml']
17,ndt_daily_cohort_stats_by_channel.view.lkml,"['marketing.model.lkml', 'computron.model.lkml']"
18,ndt_daily_device_usage.view.lkml,['helper_system_explores_raw.model.lkml']
19,ndt_ddate_first_month.view.lkml,['helper_system_explores_raw.model.lkml']
20,ndt_deferred_upgrade.view.lkml,['helper_system_explores.model.lkml']
21,ndt_deferred_upgrade_first.view.lkml,['helper_system_explores_raw.model.lkml']
22,ndt_email_verified.view.lkml,['helper_system_explores.model.lkml']
23,ndt_engagement_power_user_segments.view.lkml,['helper_system_explores_raw.model.lkml']
24,ndt_events_raw_engagement.view.lkml,['helper_system_explores_raw.model.lkml']
25,ndt_first_last_mod_down_date.view.lkml,['helper_system_explores_raw.model.lkml']
26,ndt_first_last_mod_down_date_dim.view.lkml,['helper_system_explores_raw.model.lkml']
27,ndt_first_last_mod_up_date.view.lkml,['helper_system_explores_raw.model.lkml']
28,ndt_first_last_mod_up_date_dim.view.lkml,['helper_system_explores_raw.model.lkml']
29,ndt_first_last_seat_addon.view.lkml,['helper_system_explores_raw.model.lkml']
30,ndt_first_last_seat_addon_dim.view.lkml,['helper_system_explores_raw.model.lkml']
31,ndt_first_last_seat_removal.view.lkml,['helper_system_explores_raw.model.lkml']
32,ndt_first_last_seat_removal_dim.view.lkml,['helper_system_explores_raw.model.lkml']
33,ndt_fundbox_accounts_monthly.view.lkml,['helper_system_explores_raw.model.lkml']
34,ndt_fundbox_invoices_monthly.view.lkml,['helper_system_explores_raw.model.lkml']
35,ndt_gateway_enabled_auth_net.view.lkml,['helper_system_explores_raw.model.lkml']
36,ndt_gateway_enabled_braintree.view.lkml,['helper_system_explores_raw.model.lkml']
37,ndt_gateway_enabled_fbpay_ach.view.lkml,['helper_system_explores_raw.model.lkml']
38,ndt_gateway_enabled_paypal.view.lkml,['helper_system_explores_raw.model.lkml']
39,ndt_heap_navbar_time_tracking.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
40,ndt_heap_view_retainers.view.lkml,['helper_system_explores.model.lkml']
41,ndt_in_sfmc_journey.view.lkml,['helper_system_explores.model.lkml']
42,ndt_involuntary_winback.view.lkml,['customer_experience_reporting.model.lkml']
43,ndt_involuntary_winback_final.view.lkml,['customer_experience_reporting.model.lkml']
44,ndt_involuntary_winback_monthly.view.lkml,['customer_experience_reporting.model.lkml']
45,ndt_involuntary_winback_monthly_60d.view.lkml,['customer_experience_reporting.model.lkml']
46,ndt_is_onboarded.view.lkml,['helper_system_explores.model.lkml']
47,ndt_last_upgrade_probability.view.lkml,['helper_system_explores_raw.model.lkml']
48,ndt_last_upm_predictions.view.lkml,['helper_system_explores_raw.model.lkml']
49,ndt_masterlock_businesses.view.lkml,['helper_system_explores_raw.model.lkml']
50,ndt_migration_enabled.view.lkml,['helper_system_explores_raw.model.lkml']
51,ndt_migration_invited.view.lkml,['helper_system_explores_raw.model.lkml']
52,ndt_monthly_advanced_payments.view.lkml,['helper_system_explores.model.lkml']
53,ndt_monthly_fact.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
54,ndt_monthly_payment_system_engagement.view.lkml,['payments.model.lkml']
55,ndt_monthly_payments.view.lkml,['helper_system_explores.model.lkml']
56,ndt_monthly_podcasts_stats.view.lkml,"['marketing.model.lkml', 'computron.model.lkml']"
57,ndt_monthly_retainers.view.lkml,['helper_system_explores.model.lkml']
58,ndt_monthly_seats.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
59,ndt_monthly_time_entries.view.lkml,['helper_system_explores.model.lkml']
60,ndt_optimize_experimentid.view.lkml,['helper_system_explores_raw.model.lkml']
61,ndt_paying_subscriber_base.view.lkml,"['helper_system_explores_raw.model.lkml', 'computron.model.lkml']"
62,ndt_paying_subscriber_base_by_month.view.lkml,['helper_system_explores_raw.model.lkml']
63,ndt_payment_monthly.view.lkml,['helper_system_explores.model.lkml']
64,ndt_payment_system_engagement.view.lkml,['payments.model.lkml']
65,ndt_payments_r12m.view.lkml,['helper_system_explores.model.lkml']
66,ndt_payments_r12m_summary.view.lkml,['helper_system_explores.model.lkml']
67,ndt_pd_build_commits_with_deploy.view.lkml,['helper_system_explores.model.lkml']
68,ndt_retainers.view.lkml,['helper_system_explores.model.lkml']
69,ndt_seats_avg.view.lkml,['helper_system_explores.model.lkml']
70,ndt_seats_funnels.view.lkml,"['helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
71,ndt_sf_systemid.view.lkml,['helper_system_explores.model.lkml']
72,ndt_sf_systemid_dim.view.lkml,['helper_system_explores_raw.model.lkml']
73,ndt_system_adwords_adgroup.view.lkml,"['marketing.model.lkml', 'computron.model.lkml']"
74,ndt_system_daily_estimate.view.lkml,['ndt_system_daily_estimate.view.lkml']
75,ndt_system_daily_expense.view.lkml,['helper_system_explores_raw.model.lkml']
76,ndt_system_daily_gateway_txns.view.lkml,['ndt_system_daily_gateway_txns.view.lkml']
77,ndt_system_daily_invoice.view.lkml,['ndt_system_daily_invoice.view.lkml']
78,ndt_system_daily_seats.view.lkml,['helper_system_explores.model.lkml']
79,ndt_system_daily_seats_activity.view.lkml,['helper_system_explores.model.lkml']
80,ndt_telesales_lead_generation.view.lkml,['helper_system_explores.model.lkml']
81,ndt_telesales_pilot_date_dims.view.lkml,['helper_system_explores_raw.model.lkml']
82,ndt_telesales_pilot_last_disposition.view.lkml,['helper_system_explores.model.lkml']
83,ndt_telesales_sales_dims.view.lkml,['helper_system_explores_raw.model.lkml']
84,ndt_time_entries.view.lkml,['helper_system_explores.model.lkml']
85,ndt_time_tracking_funnel.view.lkml,['helper_system_explores.model.lkml']
86,ndt_timesheet_user.view.lkml,['helper_system_explores_raw.model.lkml']
87,ndt_vt_user.view.lkml,['helper_system_explores.model.lkml']
88,ndt_zendesk_date_dims.view.lkml,['helper_system_explores.model.lkml']
89,payments_ndt.view.lkml,"['payments_ndt.view.lkml', 'payments_ndt.view.lkml']"
90,standard_report_campaign_specific.view.lkml,"['standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml', 'standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml', 'standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml', 'standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml']"
91,standard_report_events.view.lkml,"['standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml']"
92,standard_report_journey.view.lkml,"['standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml', 'helper_system_explores.model.lkml']"
93,standard_report_revenue.view.lkml,"['standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml']"
94,standard_report_upgrade.view.lkml,"['standard_reporting_explores.model.lkml', 'helper_system_explores.model.lkml']"
