,view_name,view_type,view_source_type,view_source_name,view_file_location,syntax_error
321,FACT_daily_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
322,FACT_daily_cohort_stats_by_reporting_channel,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
323,FACT_daily_upgrade_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
324,FACT_monthly_cohort_stats,derived_table,explore,report_systems_with_hqt,_systemsandtrials.model.lkml,flagged view as created in model file
120,FACT_system_bank_import,derived_table,explore,systemid_bank_import_raw,FACT_system_ndt.view.lkml,
119,FACT_system_bank_import_raw,derived_table,explore,systemid_bank_import_raw,FACT_system_ndt.view.lkml,
121,FACT_system_client,derived_table,explore,systemid_clients,FACT_system_ndt.view.lkml,
113,FACT_system_estimates,derived_table,explore,systemid_estimates,FACT_system_ndt.view.lkml,
114,FACT_system_expenses,derived_table,explore,systemid_expenses,FACT_system_ndt.view.lkml,
118,FACT_system_gateway_txn,derived_table,explore,systemid_gateway_txn,FACT_system_ndt.view.lkml,
112,FACT_system_invoice_profile,derived_table,explore,systemid_invoice_profile,FACT_system_ndt.view.lkml,
111,FACT_system_invoices,derived_table,explore,systemid_invoices,FACT_system_ndt.view.lkml,
77,FACT_system_payments,derived_table,explore,systemid_payments,payments_ndt.view.lkml,
115,FACT_system_projects,derived_table,explore,systemid_projects,FACT_system_ndt.view.lkml,
117,FACT_system_time_entry,derived_table,explore,systemid_time_entry,FACT_system_ndt.view.lkml,
74,d_marketing_channel,derived_table,explore,d_marketing_channel_w_lookups,d_marketing_channel.view.lkml,
220,fact_subscription_summary,derived_table,explore,fact_monthly_subscriptions_ndt,FACT_monthly_subscriptions_ndt.view.lkml,
50,heap_omnichannel,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,
51,heap_omnichannel_unique,derived_table,explore,heap_omnichannel_explore,standard_report_campaign_specific.view.lkml,
320,ltv_model_get_max_insertion,derived_table,explore,ltv_model,ltv_model.view.lkml,
248,ndt_advanced_accounting_reports,derived_table,explore,advanced_accounting_report_funnels,ndt_advanced_accounting_reports.view.lkml,
249,ndt_advanced_accounting_trends,derived_table,explore,advanced_accounting_report_trends,ndt_advanced_accounting_reports.view.lkml,
283,ndt_api_user,derived_table,explore,coalesced_live_shards_system,ndt_api_user.view.lkml,
31,ndt_bank_import_user,derived_table,explore,expense,ndt_bank_import_users.view.lkml,
8,ndt_beta_tests,derived_table,explore,ndt_beta_test,ndt_beta_tests.view.lkml,
1,ndt_card_reader_user,derived_table,explore,card_reader_order,ndt_card_reader_user.view.lkml,
318,ndt_channel_daily_spend,derived_table,explore,source_combined_daily_spend,ndt_channel_daily_spend.view.lkml,
186,ndt_contractor,derived_table,explore,ndt_contractor,ndt_contractor.view.lkml,
297,ndt_convertible_segment,derived_table,explore,ndt_convertible_segment,ndt_convertible_segment.view.lkml,
292,ndt_customer_movement_user_cnt,derived_table,explore,ndt_report_system_movement_by_type,ndt_customer_movement_user_cnt.view.lkml,
245,ndt_customer_movement_user_cnt_by_month,derived_table,explore,ndt_customer_movement_user_cnt,ndt_customer_movement_user_cnt_by_month.view.lkml,
84,ndt_daily_cohort_stats_by_channel,derived_table,explore,report_systems,ndt_daily_cohort_stats_by_channel.view.lkml,
101,ndt_daily_device_usage,derived_table,explore,daily_device_usage,ndt_daily_device_usage.view.lkml,
164,ndt_ddate_first_month,derived_table,explore,d_date,ndt_ddate_first_month.view.lkml,
160,ndt_deferred_upgrade,derived_table,explore,ndt_deferred_upgrade_explore,ndt_deferred_upgrade.view.lkml,
226,ndt_deferred_upgrade_first,derived_table,explore,deferred_upgrade_packages,ndt_deferred_upgrade_first.view.lkml,
148,ndt_email_verified,derived_table,explore,explore_email_verified,ndt_email_verified.view.lkml,
256,ndt_engaged_seats,derived_table,explore,monthly_seats_activity,ndt_monthly_seats.view.lkml,
181,ndt_engagement_power_user_segments,derived_table,explore,ndt_events_raw_engagement,ndt_engagement_power_user_segments.view.lkml,
184,ndt_events_raw_engagement,derived_table,explore,events_raw,ndt_events_raw_engagement.view.lkml,
83,ndt_first_last_mod_down_date,derived_table,explore,report_system_movement_by_type_raw,ndt_first_last_mod_down_date.view.lkml,
123,ndt_first_last_mod_down_date_dim,derived_table,explore,ndt_first_last_mod_down_date,ndt_first_last_mod_down_date_dim.view.lkml,
29,ndt_first_last_mod_up_date,derived_table,explore,report_system_movement_by_type_raw,ndt_first_last_mod_up_date.view.lkml,
71,ndt_first_last_mod_up_date_dim,derived_table,explore,ndt_first_last_mod_up_date,ndt_first_last_mod_up_date_dim.view.lkml,
206,ndt_first_last_seat_addon,derived_table,explore,report_system_movement_by_type_raw,ndt_first_last_seat_addon.view.lkml,
204,ndt_first_last_seat_addon_dim,derived_table,explore,ndt_first_last_seat_addon,ndt_first_last_seat_addon_dim.view.lkml,
53,ndt_first_last_seat_removal,derived_table,explore,report_system_movement_by_type_raw,ndt_first_last_seat_removal.view.lkml,
36,ndt_first_last_seat_removal_dim,derived_table,explore,ndt_first_last_seat_removal,ndt_first_last_seat_removal_dim.view.lkml,
241,ndt_fundbox_accounts_monthly,derived_table,explore,d_fundbox_accounts,ndt_fundbox_accounts_monthly.view.lkml,
72,ndt_fundbox_invoices_monthly,derived_table,explore,d_fundbox_invoices,ndt_fundbox_invoices_monthly.view.lkml,
128,ndt_gateway_enabled_auth_net,derived_table,explore,system_gateway_stable,ndt_gateway_enabled_auth_net.view.lkml,
275,ndt_gateway_enabled_braintree,derived_table,explore,system_gateway_stable,ndt_gateway_enabled_braintree.view.lkml,
211,ndt_gateway_enabled_fbpay_ach,derived_table,explore,system_gateway_stable,ndt_gateway_enabled_fbpay_ach.view.lkml,
270,ndt_gateway_enabled_paypal,derived_table,explore,system_gateway_stable,ndt_gateway_enabled_paypal.view.lkml,
225,ndt_heap_navbar_time_tracking,derived_table,explore,navbar_time_tracking,ndt_heap_navbar_time_tracking.view.lkml,
229,ndt_heap_view_retainers,derived_table,explore,heap_view_retainers,ndt_heap_view_retainers.view.lkml,
